# This is an easy to use format to configure a dynamic SOD checks form for a retail store.,,,,,,
# Each line represents a different check.,,,,,,
# Please make sure not to change the ID of any existing question. This is important for data consistency.,,,,,,
# You can remove areas by deleting the corresponding line.,,,,,,
# You can add new areas by appending new lines at the end of the file. Make sure to use unique Ids and Names for new areas.,,,,,,
# question-mandatory is a key word , write Y or N as third parameter.,,,,,
# attachment-needed is a key word , write Y or N or M as third parameter. N=No, Y=Yes, M=Yes and Mandatory.,,,
# id,name,question-mandatory [N/Y],attachment-needed [N/Y/M],,,
q1,Open the gate. Turn on lights and music,N,N,,,
q2,Turn on POS system & KOT & Printer working fine & Staff rostering & Floor plan properly as per sale target,N,N,,,
q3,"Take count of money, banking, float, and other items related to cash or vouchers",N,N,,,
q4,"Switch on all electrical appliances, specially deep freezers and refrigerators, and check all are in working condition",N,N,,,
q5,"Check stock availability, shelf life, freshness; ensure nothing is expired in store",N,N,,,
q6,Ordering for next day after counting the daily stock as per sales forecasting,N,N,,,
q7,"Clean and sanitize all windows, tables, surfaces, kitchen area, outside area, and customer area",N,M,,,
q8,"Ensure the garbage is removed and the area is clean, neat & tidy before opening",N,M,,,
q9,Adjust and clean tables and chairs properly,N,M,,,
q10,"Clean & restock or refill tabletop items and kitchen-use items (i.e. salt, pepper, sugar, syrups etc.)",N,N,,,
q11,"Clean the bathrooms and make sure essentials are restocked (i.e. hand soap, toilet paper, etc.)",N,M,,,
q12,Ensure the side station is stocked and stacked,N,M,,,
q13,Make sure all team members are ready for opening with complete personal hygiene and sanitised areas,N,N,,,
q14,Set agenda for the staff meeting and set the goals for the day,N,N,,,
q15,Review the daily specials and review menu items,N,N,,,
q16,"Check the production checklist for the day and update based on display counters, previous pending items, and requirements from last night's closing shift",N,N,,,
q17,Switch on Zomato and Swiggy; make sure all menu items are open for customers,N,M,,,
q18,"Brief the team on special events or closing instructions and share unavailable items, upselling instructions, and any cleaning or maintenance actions required",N,N,,,