,"Koramangala, Bangalore","Whitefield, Bangalore","IndraNagar, Bangalore","Saket, Delhi","Ambience Mall, Gurgaon","India Mall, Noida","MG Road , Pune","MG Road, Ahmedabad"
Have doors been unlocked and the alarm system disabled?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Is the CCTV system functioning and recording?,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes
Is the air-conditioning or ventilation working and set to a comfortable level?,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Are mannequins dressed and positioned correctly?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Are new arrivals tagged and priced?,Yes,Yes,No,Yes,Yes,Yes,Yes,NA
Has the team briefing been conducted for daily sales targets and promotions?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Have fitting room emergency buttons been tested?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Is hand sanitizer available at entrance and cash counter?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Are receipt printers, barcode scanners, and payment terminals working?",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Have important updates from head office been shared?,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Have important updates from head office been shared?,No,Yes,Yes,Yes,Yes,Yes,Yes,NA